transcript_id	gene_id	H1_000h_p	H1_001_p	H1_002_p	H1_003_p	H1_004_p	H1_005_p	H1_006_p	H1_007_p	H1_008_p	H1_009_p	H1_010_p	H1_011_p	H1_012_p	H1_013_p	H1_014_p	H1_015_p	H1_016_p	H1_017_p	H1_018_p	H1_019_p	H1_020_p	H1_021_p	H1_022_p	H1_023_p	H1_024_p	H1_025_p	H1_026_p	H1_027_p	H1_028_p	H1_029_p	H1_030_p	H1_031_p	H1_032_p	H1_033_p	H1_034_p	H1_035_p	H1_036_p	H1_037_p	H1_038_p	H1_039_p	H1_040_p	H1_041_p	H1_042_p	H1_043_p	H1_044_p	H1_045_p	H1_046_p	H1_047_p	H1_048_p	H1_049_p	H1_050_p	H1_051_p	H1_052_p	H1_053_p	H1_054_p	H1_055_p	H1_056_p	H1_057_p	H1_058_p	H1_059_p	H1_060_p	H1_061_p	H1_062_p	H1_063_p	H1_064_p	H1_065_p	H1_066_p	H1_067_p	H1_068_p	H1_069_p	H1_070_p	H1_071_p	H1_072_p	H1_073_p	H1_074_p	H1_075_p	H1_076_p	H1_077_p	H1_078_p	H1_079_p	H1_080_p	H1_081_p	H1_082_p	H1_083_p	H1_084_p	H1_085_p	H1_086_p	H1_087_p	H1_088_p	H1_089_p	H1_090_p	H1_091_p	H1_092_p	H1_093_p	H1_094_p	H1_095_p	H1_096_p	description
ENST00000361681	ENSG00000198695	284.29	1702.70	1673.11	1825.50	1104.96	1037.03	1069.73	785.88	735.38	859.89	669.99	883.77	718.59	644.16	802.24	787.38	581.19	791.46	710.33	744.46	697.75	595.05	694.71	823.22	632.35	901.72	885.47	903.77	986.16	853.05	1091.16	723.75	736.59	428.01	408.28	356.16	378.29	358.90	367.92	322.29	267.90	429.47	270.42	302.15	294.21	244.25	258.94	171.37	144.09	330.69	280.12	364.74	205.07	285.01	334.80	246.66	224.39	254.81	225.55	334.02	262.98	220.84	282.62	152.72	229.94	288.77	217.09	360.14	99.16	392.79	173.21	242.81	248.26	574.09	449.48	384.01	683.35	746.89	736.23	691.43	219.16	883.45	1077.94	788.04	742.72	386.08	610.23	485.51	715.33	524.88	536.00	550.31	319.88	280.62	397.08	370.97	308.92	mitochondrially encoded NADH dehydrogenase 6
ENST00000361739	ENSG00000198712	590.34	2299.67	2212.43	2321.06	1785.42	1488.67	1668.20	1461.16	1173.64	1142.01	1104.77	1258.20	1120.16	932.46	1093.14	1032.60	921.54	987.96	960.03	990.71	764.71	790.12	866.57	943.54	744.55	773.97	753.04	811.57	881.59	701.97	845.27	637.88	709.29	621.31	605.52	626.86	567.49	516.24	562.99	511.58	469.64	472.61	386.28	449.73	372.12	377.88	369.79	339.28	265.91	363.27	362.65	453.32	331.83	365.47	471.68	394.15	395.16	447.69	422.13	548.25	501.56	435.49	478.36	419.43	436.25	663.86	620.46	633.47	392.70	662.29	498.86	431.89	515.90	605.19	637.42	545.94	686.17	681.83	1316.94	604.63	489.37	919.69	813.51	903.01	774.78	385.84	664.24	496.54	755.40	680.48	687.95	754.52	643.76	403.16	559.89	647.81	432.16	mitochondrially encoded cytochrome c oxidase II
ENST00000361789	ENSG00000198727	98.76	403.69	383.10	413.56	253.13	258.46	267.30	186.12	192.39	172.15	159.58	225.02	168.09	160.58	176.48	152.13	122.89	182.09	133.56	166.90	107.26	128.90	139.42	148.77	135.58	147.51	139.32	149.29	165.89	133.42	164.95	128.25	141.58	127.36	106.26	121.49	106.64	86.36	86.15	84.83	63.45	89.37	52.79	72.13	55.20	62.76	43.70	36.63	39.76	57.71	53.23	75.46	42.06	61.15	76.11	59.27	52.07	55.62	38.95	65.45	46.36	39.94	49.17	39.39	53.86	61.26	50.55	43.96	11.22	36.92	24.91	17.01	31.63	96.86	57.60	23.01	111.35	43.91	108.38	45.13	19.21	123.49	108.55	140.87	106.89	55.90	101.38	66.45	130.09	108.22	77.67	94.67	108.31	47.41	74.04	75.60	66.69	mitochondrially encoded cytochrome b
ENST00000361453	ENSG00000198763	163.47	677.68	661.74	739.40	519.75	466.91	575.72	393.35	376.23	350.76	361.67	409.73	334.54	350.45	362.68	357.28	302.00	352.40	335.63	350.49	259.97	281.90	286.81	341.69	273.99	291.92	304.53	300.49	341.68	273.58	318.83	236.73	271.48	247.22	206.48	187.97	195.73	172.72	159.96	161.38	111.57	166.75	110.18	123.89	123.81	104.29	94.33	77.92	64.35	97.27	97.00	125.49	68.53	78.75	93.96	69.98	74.58	74.51	69.78	103.14	74.81	51.58	67.02	59.34	70.27	61.81	65.51	118.11	40.31	95.52	64.94	41.41	53.77	179.79	76.18	66.43	157.56	76.89	104.22	82.10	30.11	240.23	295.95	319.02	187.65	110.22	180.93	147.13	317.49	180.37	148.03	219.57	216.55	118.86	130.83	120.42	132.76	mitochondrially encoded NADH dehydrogenase 2
ENST00000361567	ENSG00000198786	82.95	394.36	356.76	407.46	247.81	209.23	243.33	171.28	163.02	173.58	148.32	219.10	170.37	162.11	179.70	175.02	147.79	178.22	150.00	172.56	114.91	132.62	165.25	176.84	135.98	163.42	154.14	168.18	183.15	149.89	208.28	129.59	157.36	158.35	134.79	127.17	125.11	109.69	113.85	95.22	76.87	109.78	62.59	79.31	68.41	76.72	61.61	39.31	28.57	71.00	59.65	84.60	42.47	61.28	76.40	56.01	61.51	77.04	57.98	69.84	60.33	44.25	49.99	47.22	65.75	38.03	26.14	51.06	12.08	35.51	20.41	17.39	28.26	98.76	35.45	27.77	105.25	46.06	58.31	58.27	30.86	112.57	122.34	149.93	53.95	54.16	100.56	58.74	142.81	98.64	77.91	91.84	98.77	49.64	86.91	57.24	64.86	mitochondrially encoded NADH dehydrogenase 5
ENST00000361624	ENSG00000198804	448.99	1923.79	1846.40	2074.77	1560.71	1321.98	1572.84	1248.86	1059.05	1104.74	1046.10	1232.07	993.94	875.10	997.51	936.04	716.36	852.55	760.42	816.55	613.25	629.04	767.20	727.09	598.50	679.17	655.82	683.78	732.66	580.68	735.18	561.39	573.33	624.04	534.59	546.59	502.72	462.73	490.21	426.84	354.96	478.46	337.39	347.99	301.34	306.50	308.73	246.90	179.70	318.68	284.42	344.75	243.06	296.86	341.85	292.05	293.03	376.29	333.24	397.07	389.65	304.15	375.09	348.43	376.69	443.85	364.26	452.16	243.59	393.96	371.12	236.49	322.94	438.13	327.85	326.62	471.41	501.62	831.10	470.27	316.03	607.41	534.10	642.91	391.34	253.25	463.57	327.56	538.15	489.59	442.08	538.75	452.55	288.31	401.42	475.35	307.16	mitochondrially encoded cytochrome c oxidase I
ENST00000361227	ENSG00000198840	159.14	593.14	550.28	582.92	420.57	524.39	497.79	440.38	397.43	416.63	400.64	451.02	405.44	374.15	430.69	401.69	382.41	401.94	415.47	403.18	379.98	369.16	373.41	345.12	338.33	353.08	333.34	305.44	302.61	308.05	315.42	260.72	266.11	245.76	270.56	277.65	243.61	242.22	270.48	240.11	191.19	220.80	195.60	225.89	187.61	152.72	202.95	179.31	136.79	170.34	192.56	220.49	124.53	166.47	185.15	214.72	224.44	184.72	204.81	191.23	203.40	205.16	135.85	221.57	208.04	222.51	195.04	243.16	206.60	275.79	249.68	247.33	226.26	232.40	243.22	296.02	232.64	224.04	464.67	236.59	223.29	441.49	433.59	555.02	243.27	253.01	409.81	271.40	369.51	464.18	329.78	405.83	588.89	393.85	328.47	327.26	304.54	mitochondrially encoded NADH dehydrogenase 3
ENST00000361381	ENSG00000198886	247.09	993.85	899.82	1071.82	656.89	565.63	700.52	469.32	435.14	461.05	414.94	577.55	438.58	420.21	509.04	440.53	396.27	465.31	419.63	490.97	324.78	386.44	430.29	442.81	360.83	450.87	393.36	468.47	475.15	431.31	515.37	353.15	417.67	383.75	303.86	302.27	275.19	264.78	254.56	212.45	198.82	231.79	141.03	176.71	151.49	147.69	125.49	88.44	72.44	142.83	132.48	176.77	92.54	142.07	173.44	147.31	119.55	156.87	115.70	154.37	142.68	111.96	144.33	118.21	179.60	172.65	128.22	170.93	75.29	126.64	111.22	59.07	113.57	196.66	101.12	102.83	246.85	184.14	316.95	189.18	98.38	300.95	255.62	307.31	126.89	128.27	225.30	129.67	308.02	237.41	190.81	246.67	267.13	105.01	182.81	165.44	142.58	mitochondrially encoded NADH dehydrogenase 4
ENST00000361390	ENSG00000198888	121.73	556.26	575.19	617.78	425.20	379.11	496.81	372.98	299.75	286.25	302.56	383.07	286.18	260.59	307.52	252.04	228.37	257.77	233.04	260.76	191.18	187.58	241.12	226.29	203.94	231.60	232.65	232.54	239.52	211.58	269.32	182.34	209.98	205.67	183.99	180.84	146.77	150.73	153.01	118.15	105.30	132.28	92.88	106.95	85.08	82.80	80.09	63.57	44.08	68.26	90.08	100.12	51.68	65.66	81.21	73.28	55.87	65.37	51.89	66.33	92.61	38.35	74.48	59.46	71.88	52.73	43.92	74.33	25.96	36.43	51.48	19.09	31.43	141.18	59.99	54.08	127.49	53.06	62.76	51.69	22.43	152.89	147.18	208.43	100.92	63.60	168.61	62.70	236.48	131.78	118.05	135.37	156.96	61.65	100.71	94.60	104.46	mitochondrially encoded NADH dehydrogenase 1
ENST00000361899	ENSG00000198899	572.63	1890.08	1811.01	2069.73	1260.80	1046.34	1351.21	872.50	826.23	801.12	735.16	1047.19	801.74	734.73	954.09	820.27	723.58	850.82	730.17	904.90	634.75	668.90	840.85	826.14	718.53	762.71	716.99	816.45	859.73	705.09	849.36	570.04	747.78	585.92	504.01	484.07	468.27	444.48	379.35	317.78	295.75	378.60	223.62	285.41	259.17	241.80	241.26	156.78	136.57	211.16	250.45	322.12	154.11	262.45	307.93	260.75	202.72	218.53	196.01	253.55	262.35	179.89	274.45	192.24	273.73	271.01	197.76	335.06	142.68	274.66	205.50	127.52	214.70	385.73	258.95	196.26	407.47	328.16	516.52	266.97	146.52	487.35	416.84	554.84	283.37	195.64	390.07	201.10	611.44	434.22	316.99	438.50	392.66	189.02	302.98	299.20	273.33	mitochondrially encoded ATP synthase 6
