transcript_id	gene_id	H1_000h_p	H1_001_p	H1_002_p	H1_003_p	H1_004_p	H1_005_p	H1_006_p	H1_007_p	H1_008_p	H1_009_p	H1_010_p	H1_011_p	H1_012_p	H1_013_p	H1_014_p	H1_015_p	H1_016_p	H1_017_p	H1_018_p	H1_019_p	H1_020_p	H1_021_p	H1_022_p	H1_023_p	H1_024_p	H1_025_p	H1_026_p	H1_027_p	H1_028_p	H1_029_p	H1_030_p	H1_031_p	H1_032_p	H1_033_p	H1_034_p	H1_035_p	H1_036_p	H1_037_p	H1_038_p	H1_039_p	H1_040_p	H1_041_p	H1_042_p	H1_043_p	H1_044_p	H1_045_p	H1_046_p	H1_047_p	H1_048_p	H1_049_p	H1_050_p	H1_051_p	H1_052_p	H1_053_p	H1_054_p	H1_055_p	H1_056_p	H1_057_p	H1_058_p	H1_059_p	H1_060_p	H1_061_p	H1_062_p	H1_063_p	H1_064_p	H1_065_p	H1_066_p	H1_067_p	H1_068_p	H1_069_p	H1_070_p	H1_071_p	H1_072_p	H1_073_p	H1_074_p	H1_075_p	H1_076_p	H1_077_p	H1_078_p	H1_079_p	H1_080_p	H1_081_p	H1_082_p	H1_083_p	H1_084_p	H1_085_p	H1_086_p	H1_087_p	H1_088_p	H1_089_p	H1_090_p	H1_091_p	H1_092_p	H1_093_p	H1_094_p	H1_095_p	H1_096_p	description
ENST00000361681	ENSG00000198695	672.66	3613.36	3789.30	4619.15	2231.95	2427.69	2604.29	1513.21	1525.81	1926.74	1540.33	1902.41	1472.57	1473.60	1733.08	1476.13	1442.45	1345.14	1109.27	1548.52	1371.39	1198.83	1392.34	1198.75	1230.09	1450.40	1442.41	1754.05	1237.18	1792.36	2260.64	1602.39	1701.19	924.02	887.50	782.36	782.80	788.44	747.09	620.25	590.82	898.81	539.90	618.12	592.92	485.25	486.36	342.01	195.04	585.97	549.99	769.59	432.99	602.03	647.11	294.91	462.00	530.12	488.32	682.14	519.00	448.85	595.58	321.73	455.72	315.00	616.44	679.79	115.00	1026.00	340.00	704.15	679.45	922.43	1176.00	771.00	1910.35	1831.00	542.34	1546.02	394.00	1257.83	2204.79	1016.20	1277.81	792.98	1322.91	924.08	1837.32	1085.54	981.18	1282.79	551.04	531.00	457.07	798.97	656.56	mitochondrially encoded NADH dehydrogenase 6
ENST00000361739	ENSG00000198712	1840.07	6429.00	6601.00	7737.00	4751.01	4591.00	5350.18	3706.39	3208.00	3371.00	3346.00	3567.99	3024.00	2810.12	3110.99	2550.22	3013.00	2212.00	1975.00	2714.71	1980.00	2097.00	2288.01	1810.00	1908.00	1640.02	1616.00	2075.00	1457.00	1943.00	2307.00	1860.48	2158.00	1767.00	1734.00	1814.00	1547.00	1494.00	1505.99	1297.00	1364.46	1303.00	1016.00	1212.00	987.93	989.00	915.00	892.00	474.16	848.00	938.00	1260.03	923.00	1017.00	1201.00	620.81	1071.79	1227.00	1204.00	1475.00	1304.00	1166.00	1328.00	1164.00	1139.00	954.00	2321.00	1575.22	600.00	2279.00	1290.00	1650.00	1860.05	1281.00	2197.00	1444.00	2527.00	2202.00	1278.00	1781.00	1159.00	1725.00	2192.00	1534.00	1756.00	1044.00	1897.00	1245.00	2556.00	1854.00	1659.00	2317.00	1460.93	1005.00	849.00	1838.00	1210.00	mitochondrially encoded cytochrome c oxidase II
ENST00000361789	ENSG00000198727	521.00	1910.00	1934.46	2333.12	1140.00	1349.00	1450.89	799.00	890.00	860.00	818.00	1079.97	768.00	819.00	850.00	635.88	680.00	690.00	465.00	774.00	470.00	579.00	623.00	483.00	588.00	529.00	506.00	646.00	464.00	625.00	761.94	633.06	729.00	613.00	515.00	595.00	492.00	423.00	390.00	364.00	312.00	417.00	235.00	329.00	248.00	278.00	183.00	163.00	120.00	228.00	233.00	355.00	198.00	288.00	328.00	158.00	239.00	258.00	188.00	298.00	204.00	181.00	231.00	185.00	238.00	149.00	320.00	185.00	29.00	215.00	109.00	110.00	193.00	347.00	336.00	103.00	694.00	240.00	178.00	225.00	77.00	392.00	495.00	405.00	410.00	256.00	490.00	282.00	745.00	499.00	317.00	492.00	416.00	200.00	190.00	363.00	316.00	mitochondrially encoded cytochrome b
ENST00000361453	ENSG00000198763	785.92	2922.16	3045.29	3801.61	2133.26	2221.00	2847.95	1539.00	1586.18	1597.00	1689.56	1792.14	1392.99	1629.00	1592.01	1361.00	1523.00	1216.99	1065.00	1481.36	1038.23	1154.00	1168.00	1011.00	1083.00	954.10	1008.00	1185.00	871.00	1168.00	1342.18	1065.00	1274.00	1084.47	912.00	839.00	823.00	771.00	659.99	631.08	499.99	709.09	447.00	515.00	507.00	421.00	360.00	316.00	177.00	350.24	387.00	538.00	294.00	338.00	369.01	170.00	312.00	315.00	307.00	428.00	300.00	213.00	287.00	254.00	283.00	137.00	378.00	453.00	95.00	507.00	259.00	244.00	299.00	587.00	405.00	271.00	895.00	383.00	156.00	373.00	110.00	695.00	1229.98	835.90	656.00	460.00	797.00	569.00	1657.00	758.00	550.63	1040.00	758.00	457.00	306.00	527.00	573.31	mitochondrially encoded NADH dehydrogenase 2
ENST00000361567	ENSG00000198786	700.41	2986.72	2883.63	3679.55	1786.43	1748.05	2114.21	1176.99	1207.15	1388.11	1217.00	1683.22	1246.00	1323.47	1385.42	1171.02	1309.00	1081.00	836.00	1280.98	806.04	953.57	1182.02	919.00	944.01	938.09	896.09	1164.91	820.00	1124.00	1540.02	1023.99	1297.02	1220.00	1045.67	997.00	923.93	860.00	825.08	654.00	605.00	819.97	446.00	579.00	492.00	544.00	413.00	280.00	138.00	449.01	418.01	637.05	320.00	462.00	527.00	239.00	452.00	572.00	448.00	509.00	424.91	321.00	376.00	355.00	465.08	148.04	264.94	344.00	50.00	331.00	143.00	180.00	276.00	566.30	331.00	199.00	1050.12	402.96	153.30	465.00	198.00	572.00	893.01	690.00	331.22	397.00	778.02	399.00	1309.13	728.03	508.97	764.01	607.20	335.26	357.02	440.00	492.00	mitochondrially encoded NADH dehydrogenase 5
ENST00000361624	ENSG00000198804	3218.81	12369.83	12670.51	15906.82	9552.00	9376.99	11602.03	7286.06	6657.97	7500.27	7287.14	8035.93	6171.50	6065.68	6529.28	5317.00	5387.00	4390.28	3598.00	5146.23	3652.00	3839.86	4658.95	3208.00	3527.58	3310.00	3236.92	4021.01	2785.00	3696.78	4615.00	3766.00	4011.98	4082.00	3521.00	3638.00	3152.04	3080.04	3016.00	2489.00	2371.93	3034.00	2041.00	2157.00	1840.00	1845.00	1757.00	1493.01	737.00	1711.00	1692.00	2204.02	1555.00	1900.00	2002.00	1058.00	1828.00	2372.00	2186.05	2457.00	2330.00	1873.00	2395.00	2224.00	2262.00	1467.00	3134.00	2586.05	856.00	3118.00	2207.27	2077.99	2678.00	2133.00	2599.00	1987.00	3993.00	3726.00	1855.00	3186.00	1721.47	2620.33	3310.00	2511.95	2040.00	1576.02	3045.00	1889.00	4188.08	3068.00	2452.00	3805.09	2362.10	1653.00	1400.00	3102.00	1978.00	mitochondrially encoded cytochrome c oxidase I
ENST00000361227	ENSG00000198840	242.00	809.00	801.00	948.00	546.00	789.00	778.89	545.00	530.00	600.00	592.00	624.00	534.00	550.11	598.00	484.00	610.00	439.06	417.00	539.00	480.00	478.00	481.00	323.00	423.00	365.01	349.00	381.00	244.00	416.00	420.00	371.00	395.00	341.00	378.00	392.00	324.00	342.00	353.00	297.00	271.00	297.00	251.00	297.00	243.00	195.00	245.00	230.00	119.00	194.00	243.00	299.00	169.00	226.00	230.00	165.00	297.00	247.00	284.99	251.00	258.00	268.00	184.00	300.00	265.00	156.00	355.95	295.00	154.00	463.00	315.00	461.00	398.00	240.00	409.00	382.00	418.00	353.00	220.00	340.00	258.00	404.00	570.00	460.00	269.00	334.00	571.00	332.00	610.00	617.00	388.00	608.00	652.00	479.00	243.00	453.00	416.00	mitochondrially encoded NADH dehydrogenase 3
ENST00000361381	ENSG00000198886	1580.00	5700.01	5507.70	7329.61	3586.00	3578.65	4609.11	2442.29	2440.05	2791.99	2578.18	3360.00	2429.00	2598.00	2972.02	2232.00	2657.96	2137.29	1771.00	2760.00	1725.15	2104.07	2330.70	1742.64	1897.00	1959.97	1731.77	2457.23	1611.00	2449.20	2885.67	2113.13	2607.00	2239.01	1785.10	1794.50	1539.00	1572.00	1396.99	1105.00	1185.00	1311.00	761.00	977.00	825.07	793.00	637.00	477.00	265.00	684.00	703.00	1008.00	528.07	811.04	906.00	476.00	665.23	882.00	677.00	852.00	761.00	615.00	822.00	673.00	962.00	509.00	984.00	872.00	236.00	894.00	590.00	463.00	840.00	854.00	715.00	558.00	1865.00	1220.00	631.00	1143.17	478.00	1158.00	1413.00	1071.00	590.00	712.00	1320.00	667.00	2138.15	1327.00	944.00	1554.00	1243.65	537.00	568.71	963.00	819.00	mitochondrially encoded NADH dehydrogenase 4
ENST00000361390	ENSG00000198888	535.78	2196.00	2423.38	2907.99	1597.75	1651.00	2250.00	1336.00	1157.00	1193.18	1294.00	1533.99	1090.99	1109.00	1235.87	878.99	1054.37	815.00	677.00	1009.00	699.00	703.00	899.00	613.00	738.01	693.00	705.00	839.59	559.00	827.00	1038.00	751.01	902.13	826.00	744.00	739.00	565.00	616.00	578.00	423.00	432.00	515.00	344.98	407.00	318.95	306.00	279.85	236.00	111.00	225.00	329.00	393.00	203.00	258.00	292.00	163.00	214.00	253.00	209.00	252.00	340.00	145.00	292.00	233.00	265.00	107.00	232.00	261.00	56.00	177.00	188.00	103.00	160.00	422.00	292.00	202.00	663.00	242.00	86.00	215.00	75.00	404.94	560.00	500.00	323.00	243.00	680.00	222.00	1129.95	507.00	402.00	587.00	503.00	217.00	215.64	379.00	413.01	mitochondrially encoded NADH dehydrogenase 1
ENST00000361899	ENSG00000198899	1776.76	5259.95	5378.75	6867.85	3339.74	3212.21	4313.84	2203.11	2248.13	2354.01	2216.46	2956.11	2154.55	2204.16	2702.90	2016.63	2355.02	1896.29	1495.29	2468.32	1636.03	1767.21	2210.00	1577.59	1832.97	1608.81	1531.63	2077.98	1414.42	1942.78	2307.62	1655.06	2264.78	1658.79	1436.75	1394.45	1270.73	1280.48	1010.15	802.01	855.36	1039.05	585.49	765.66	684.94	629.97	594.27	410.32	242.41	490.69	644.85	891.29	426.72	727.01	780.50	408.83	547.34	596.19	556.51	679.05	678.97	479.47	758.46	531.08	711.43	387.68	736.40	829.39	217.00	940.84	529.00	484.96	770.56	812.76	888.46	516.75	1493.80	1054.98	498.97	782.79	345.43	909.93	1118.07	938.27	639.31	526.94	1108.95	501.93	2059.49	1177.66	760.96	1340.44	887.03	469.06	457.35	845.06	761.81	mitochondrially encoded ATP synthase 6
