transcript_id	gene_id	H1_000h_p	H1_001_p	H1_002_p	H1_003_p	H1_004_p	H1_005_p	H1_006_p	H1_007_p	H1_008_p	H1_009_p	H1_010_p	H1_011_p	H1_012_p	H1_013_p	H1_014_p	H1_015_p	H1_016_p	H1_017_p	H1_018_p	H1_019_p	H1_020_p	H1_021_p	H1_022_p	H1_023_p	H1_024_p	H1_025_p	H1_026_p	H1_027_p	H1_028_p	H1_029_p	H1_030_p	H1_031_p	H1_032_p	H1_033_p	H1_034_p	H1_035_p	H1_036_p	H1_037_p	H1_038_p	H1_039_p	H1_040_p	H1_041_p	H1_042_p	H1_043_p	H1_044_p	H1_045_p	H1_046_p	H1_047_p	H1_048_p	H1_049_p	H1_050_p	H1_051_p	H1_052_p	H1_053_p	H1_054_p	H1_055_p	H1_056_p	H1_057_p	H1_058_p	H1_059_p	H1_060_p	H1_061_p	H1_062_p	H1_063_p	H1_064_p	H1_065_p	H1_066_p	H1_067_p	H1_068_p	H1_069_p	H1_070_p	H1_071_p	H1_072_p	H1_073_p	H1_074_p	H1_075_p	H1_076_p	H1_077_p	H1_078_p	H1_079_p	H1_080_p	H1_081_p	H1_082_p	H1_083_p	H1_084_p	H1_085_p	H1_086_p	H1_087_p	H1_088_p	H1_089_p	H1_090_p	H1_091_p	H1_092_p	H1_093_p	H1_094_p	H1_095_p	H1_096_p	description
ENST00000361681	ENSG00000198695	148.84	790.91	795.66	842.19	528.35	490.76	498.75	376.71	345.65	403.28	319.46	395.01	325.20	297.02	363.12	357.54	264.20	365.28	328.91	337.74	329.29	274.76	315.62	381.11	285.76	394.40	394.70	399.34	430.06	384.66	475.70	337.52	323.17	185.81	179.51	157.06	169.04	157.91	164.98	144.60	119.46	190.64	122.90	135.70	131.64	108.49	116.71	79.09	69.47	151.78	128.38	164.53	97.40	132.19	150.27	114.01	103.04	119.84	104.68	154.78	127.15	108.58	135.77	73.23	105.52	152.12	120.78	177.14	56.09	208.97	90.78	137.53	130.00	263.44	231.91	204.66	313.40	394.79	388.18	351.38	113.62	417.91	511.84	366.38	378.86	186.00	281.33	245.94	318.75	243.01	253.71	263.62	161.05	136.35	181.19	185.65	140.55	mitochondrially encoded NADH dehydrogenase 6
ENST00000361739	ENSG00000198712	309.07	1068.19	1052.14	1070.81	853.73	704.50	777.78	700.41	551.65	535.59	526.76	562.36	506.93	429.96	494.79	468.89	418.92	455.97	444.54	449.45	360.89	364.83	393.70	436.81	336.46	338.53	335.67	358.61	384.46	316.54	368.50	297.47	311.19	269.72	266.23	276.42	253.59	227.14	252.45	229.53	209.42	209.79	175.57	201.98	166.50	167.85	166.67	156.59	128.19	166.73	166.20	204.48	157.61	169.51	211.70	182.18	181.45	210.56	195.92	254.05	242.51	214.11	229.80	201.13	200.19	349.71	345.20	311.59	222.12	352.36	261.44	244.63	270.15	277.71	328.88	290.97	314.69	360.41	694.36	307.27	253.72	435.06	386.28	419.82	395.21	185.89	306.23	251.52	336.61	315.05	325.64	361.44	324.11	195.90	255.48	324.20	196.63	mitochondrially encoded cytochrome c oxidase II
ENST00000361789	ENSG00000198727	51.71	187.51	182.19	190.80	121.04	122.31	124.63	89.21	90.43	80.74	76.09	100.58	76.07	74.04	79.88	69.08	55.86	84.04	61.84	75.72	50.62	59.52	63.34	68.87	61.27	64.52	62.10	65.97	72.34	60.16	71.91	59.81	62.12	55.29	46.72	53.57	47.65	38.00	38.63	38.06	28.29	39.67	23.99	32.40	24.70	27.88	19.70	16.91	19.17	26.49	24.39	34.04	19.98	28.36	34.16	27.40	23.91	26.16	18.08	30.33	22.42	19.64	23.62	18.89	24.72	32.27	28.12	21.62	6.34	19.64	13.05	9.64	16.56	44.45	29.72	12.26	51.07	23.21	57.14	22.94	9.96	58.42	51.54	65.49	54.52	26.93	46.74	33.66	57.97	50.10	36.77	45.35	54.53	23.03	33.78	37.83	30.34	mitochondrially encoded cytochrome b
ENST00000361453	ENSG00000198763	85.59	314.78	314.69	341.12	248.53	220.96	268.42	188.55	176.84	164.50	172.45	183.13	151.40	161.59	164.16	162.24	137.29	162.64	155.41	159.01	122.69	130.17	130.30	158.18	123.82	127.68	135.75	132.77	149.01	123.36	139.00	110.40	119.11	107.32	90.78	82.89	87.47	76.00	71.73	72.41	49.75	74.02	50.08	55.64	55.40	46.32	42.51	35.96	31.03	44.65	44.46	56.61	32.55	36.53	42.17	32.34	34.24	35.05	32.39	47.79	36.17	25.36	32.20	28.45	32.25	32.56	36.45	58.09	22.80	50.82	34.03	23.45	28.15	82.50	39.31	35.40	72.26	40.64	54.95	41.72	15.61	113.64	140.52	148.32	95.72	53.10	83.41	74.53	141.48	83.51	70.07	105.18	109.03	57.75	59.70	60.27	60.40	mitochondrially encoded NADH dehydrogenase 2
ENST00000361567	ENSG00000198786	43.43	183.18	169.66	187.98	118.49	99.02	113.45	82.10	76.62	81.41	70.72	97.93	77.10	74.75	81.34	79.48	67.18	82.25	69.46	78.29	54.23	61.24	75.08	81.87	61.45	71.48	68.71	74.31	79.87	67.59	90.80	60.44	69.04	68.74	59.26	56.08	55.91	48.26	51.05	42.72	34.28	48.73	28.45	35.62	30.61	34.08	27.77	18.14	13.77	32.59	27.34	38.16	20.17	28.43	34.29	25.89	28.25	36.23	26.91	32.36	29.17	21.76	24.02	22.64	30.17	20.03	14.55	25.12	6.83	18.89	10.70	9.85	14.80	45.32	18.29	14.80	48.27	24.35	30.74	29.61	16.00	53.25	58.09	69.71	27.52	26.09	46.36	29.75	63.64	45.67	36.88	43.99	49.72	24.12	39.66	28.65	29.51	mitochondrially encoded NADH dehydrogenase 5
ENST00000361624	ENSG00000198804	235.07	893.60	878.07	957.19	746.28	625.62	733.32	598.64	497.79	518.11	498.79	550.68	449.81	403.51	451.51	425.04	325.65	393.48	352.10	370.44	289.41	290.46	348.55	336.61	270.46	297.06	292.33	302.14	319.51	261.85	320.51	261.80	251.54	270.91	235.05	241.03	224.65	203.60	219.82	191.51	158.28	212.39	153.34	156.29	134.83	136.14	139.15	113.95	86.63	146.27	130.35	155.51	115.45	137.69	153.43	134.99	134.55	176.98	154.67	183.99	188.40	149.53	180.19	167.08	172.85	233.81	202.66	222.41	137.78	209.60	194.50	133.95	169.11	201.05	169.15	174.08	216.20	265.15	438.20	238.98	163.85	287.33	253.61	298.90	199.62	122.01	213.72	165.93	239.80	226.67	209.26	258.08	227.84	140.09	183.17	237.89	139.75	mitochondrially encoded cytochrome c oxidase I
ENST00000361227	ENSG00000198840	83.32	275.51	261.69	268.93	201.10	248.16	232.09	211.10	186.81	195.40	191.03	201.59	183.48	172.52	194.95	182.40	173.84	185.51	192.38	182.91	179.32	170.46	169.64	159.77	152.89	154.43	148.59	134.96	131.97	138.91	137.51	121.59	116.75	106.69	118.96	122.44	108.86	106.58	121.29	107.73	85.25	98.01	88.90	101.45	83.94	67.84	91.47	82.76	65.94	78.18	88.25	99.46	59.15	77.21	83.10	99.25	103.06	86.88	95.06	88.61	98.35	100.87	65.26	106.25	95.47	117.21	108.51	119.61	116.86	146.73	130.85	140.09	118.48	106.64	125.49	157.77	106.69	118.42	245.00	120.23	115.77	208.85	205.88	258.04	124.09	121.89	188.93	137.48	164.66	214.90	156.10	194.40	296.48	191.37	149.88	163.78	138.56	mitochondrially encoded NADH dehydrogenase 3
ENST00000361381	ENSG00000198886	129.36	461.64	427.92	494.48	314.10	267.68	326.61	224.97	204.53	216.23	197.85	258.14	198.48	193.76	230.41	200.04	180.14	214.75	194.30	222.74	153.27	178.44	195.49	205.00	163.06	197.21	175.34	207.00	207.21	194.49	224.68	164.69	183.25	166.59	133.60	133.29	122.97	116.50	114.15	95.32	88.65	102.89	64.10	79.36	67.78	65.60	56.56	40.82	34.92	65.55	60.72	79.74	43.95	65.89	77.84	68.09	54.90	73.78	53.70	71.53	68.99	55.05	69.33	56.68	82.42	90.95	71.34	84.08	42.59	67.38	58.29	33.46	59.47	90.24	52.17	54.81	113.21	97.33	167.11	96.14	51.01	142.36	121.37	142.88	64.73	61.80	103.87	65.68	137.26	109.92	90.32	118.17	134.49	51.02	83.42	82.80	64.87	mitochondrially encoded NADH dehydrogenase 4
ENST00000361390	ENSG00000198888	63.73	258.38	273.54	285.01	203.32	179.41	231.63	178.79	140.89	134.25	144.26	171.22	129.51	120.16	139.20	114.45	103.81	118.97	107.91	118.30	90.22	86.61	109.55	104.76	92.16	101.30	103.70	102.75	104.46	95.41	117.41	85.03	92.12	89.29	80.89	79.75	65.59	66.32	68.61	53.01	46.95	58.72	42.22	48.03	38.07	36.78	36.10	29.34	21.25	31.33	41.28	45.16	24.55	30.45	36.45	33.87	25.66	30.75	24.08	30.74	44.78	18.86	35.78	28.51	32.98	27.78	24.44	36.56	14.68	19.38	26.98	10.81	16.46	64.79	30.95	28.82	58.47	28.05	33.09	26.27	11.63	72.32	69.88	96.90	51.48	30.64	77.73	31.76	105.38	61.01	55.88	64.85	79.02	29.95	45.95	47.34	47.53	mitochondrially encoded NADH dehydrogenase 1
ENST00000361899	ENSG00000198899	299.80	877.94	861.24	954.86	602.87	495.17	629.98	418.23	388.36	375.72	350.53	468.05	362.83	338.78	431.85	372.48	328.93	392.68	338.10	410.53	299.56	308.86	382.01	382.46	324.70	333.60	319.60	360.76	374.93	317.95	370.29	265.83	328.08	254.36	221.60	213.46	209.26	195.57	170.10	142.58	131.88	168.06	101.64	128.18	115.96	107.41	108.74	72.36	65.84	96.92	114.78	145.30	73.20	121.73	138.21	120.52	93.08	102.78	90.97	117.49	126.85	88.44	131.84	92.18	125.61	142.76	110.03	164.81	80.70	146.13	107.70	72.23	112.43	177.00	133.61	104.60	186.87	173.46	272.34	135.67	75.96	230.54	197.93	257.96	144.54	94.25	179.83	101.87	272.46	201.03	150.05	210.06	197.69	91.85	138.25	149.74	124.36	mitochondrially encoded ATP synthase 6
